index_0,sample,value
0,0,0.9193606679806136
1,0,0.9466592576952836
2,0,1.0182520528819368
3,0,1.4401787585582073
4,0,2.0565462734625104
0,1,0.8790162370516704
1,1,1.4454631765828072
2,1,1.8982727734468783
3,1,1.9802549923134314
4,1,2.042086967044814
0,2,0.7504488279597992
1,2,1.55187403335273
2,2,1.5837013423062314
3,2,2.0329355259206503
4,2,2.105768941507894
0,3,0.9226117411331668
1,3,1.1289919810181173
2,3,1.6843554372924971
3,3,1.936728068584035
4,3,2.0575624074250456
0,4,0.7969438206830652
1,4,0.9686407673923625
2,4,1.8441115997735664
3,4,1.9033582836286953
4,4,2.201438453391009
0,5,0.6968379744057638
1,5,1.5937747449240363
2,5,1.6739298293945784
3,5,2.100239532683486
4,5,2.134693032589401
0,6,0.917801380458892
1,6,1.4617674044419142
2,6,1.5619794964619604
3,6,2.1169095110782483
4,6,2.176628171777831
0,7,0.3415466398234024
1,7,1.2377451145959861
2,7,1.8715227859017096
3,7,1.9473711669304214
4,7,2.225132006344759
0,8,0.39090351422149594
1,8,1.1418446838972924
2,8,1.730419926687607
3,8,1.9683821916100444
4,8,2.1095982720674606
0,9,0.3934522238559944
1,9,0.9403812271007896
2,9,1.8886665646519987
3,9,1.9105946512071985
4,9,2.2987079733157545
0,10,0.445617166328154
1,10,0.8523325084226769
2,10,1.6769672906761617
3,10,1.9159536252551672
4,10,2.2330337609702764
0,11,0.35559831037893597
1,11,1.1418382028457028
2,11,1.8131200877394127
3,11,1.9800430338329646
4,11,2.1621358098245347
0,12,0.43960143479529307
1,12,0.9237142110386463
2,12,1.8974222360922197
3,12,1.976372002341197
4,12,2.0684836610681954
0,13,0.36949315784734443
1,13,1.0827003622172249
2,13,1.9141532440373927
3,13,1.994722274710934
4,13,2.3299336003959885
0,14,0.3790933872816701
1,14,1.160415900094722
2,14,1.8060824451139288
3,14,2.0243391810199873
4,14,2.0874772523687746
0,15,0.11101583864962959
1,15,1.0625388266197138
2,15,1.8610195587224068
3,15,2.0473787534317336
4,15,2.091636325488127
0,16,0.21126520366985094
1,16,1.0788654604503525
2,16,1.9158795553635
3,16,2.121145083138538
4,16,2.1255124110039905
0,17,0.18240215451514624
1,17,1.077403137867372
2,17,1.8698382601078267
3,17,2.020337974306237
4,17,2.168673229676407
0,18,0.24766873595276362
1,18,1.0776470128675937
2,18,1.9529085780882003
3,18,2.062212127250811
4,18,2.2865794201810137
0,19,0.2337314070526046
1,19,0.983915393325296
2,19,1.8089452838598379
3,19,2.09925519759011
4,19,2.1952418010221493
0,20,0.1915171828195198
1,20,1.0740994621073359
2,20,1.9357286933673643
3,20,1.9771448383263737
4,20,2.199413478229775
0,21,0.10646649786340638
1,21,1.052083575174925
2,21,1.834469964446477
3,21,2.010100610375127
4,21,2.157409896153321
0,22,0.1631322866324055
1,22,1.0426035963691005
2,22,1.919487423251073
3,22,2.021163919201531
4,22,2.2340360443640765
0,23,0.1208808496336482
1,23,1.1049518500980064
2,23,1.9376008943012097
3,23,2.0472481498953674
4,23,2.092399368830453
0,24,0.3488188685058904
1,24,0.9926830256273833
2,24,1.8926571248733632
3,24,2.079369917876704
4,24,2.1133481921928707
0,25,0.1820066482507434
1,25,1.032094375427932
2,25,1.9507226806468347
3,25,2.056372423552961
4,25,2.1443705550121024
0,26,0.18113506759406142
1,26,1.043710933955164
2,26,1.8240018279821746
3,26,2.0644800513074397
4,26,2.1692963270720234
0,27,0.11065868568865728
1,27,1.0510474981278939
2,27,2.027054222451898
3,27,2.035953044249061
4,27,2.093401261387343
0,28,0.29464199219679654
1,28,1.053442234665849
2,28,2.026974324020189
3,28,2.0757894992926706
4,28,2.081357324411828
0,29,0.10047706580790641
1,29,1.054302498714758
2,29,1.7520629412237632
3,29,1.9926223937920697
4,29,2.3056520508077565
0,30,0.15736922628887795
1,30,1.0565035687148803
2,30,1.912714226676845
3,30,2.0098337170983416
4,30,2.1971340942413824
0,31,0.2273656687456196
1,31,1.0618184632680687
2,31,1.9892707881336387
3,31,2.0056161379447692
4,31,2.067292802988429
0,32,0.1984809260296584
1,32,1.0745707078131974
2,32,2.0267894207377903
3,32,2.0539955145116213
4,32,2.1431018353797637
0,33,0.03986531686368766
1,33,1.0381008203808189
2,33,1.9813050777380417
3,33,2.0903600160480122
4,33,2.190264653926682
0,34,0.1083431249893019
1,34,1.039505348906121
2,34,2.0142409428035197
3,34,2.080820493069398
4,34,2.099172354076119
0,35,0.2380050950920808
1,35,1.0647317809843784
2,35,1.9991374684115786
3,35,2.024778164406394
4,35,2.0293867529083975
0,36,0.22897684986388983
1,36,1.0249382590814804
2,36,1.9344010095474575
3,36,1.9647564251088778
4,36,2.215084118280378
0,37,0.08536843061955346
1,37,1.0634222926675645
2,37,1.988019389898981
3,37,2.0914984780226344
4,37,2.205319977709452
0,38,0.2306635060668938
1,38,1.0349374913978295
2,38,1.903959753516256
3,38,2.061826461669779
4,38,2.1661807602404104
0,39,0.14609516628972496
1,39,1.0676393945019054
2,39,1.9573837307221469
3,39,2.0703088702443306
4,39,2.120314948125801
0,40,0.11947538921854634
1,40,1.047628961930941
2,40,1.911731997173043
3,40,2.051862943482963
4,40,2.1365879631073885
0,41,0.2717030110832689
1,41,1.0317841722748664
2,41,1.820287891765008
3,41,2.0508036594913523
4,41,2.229867192644957
0,42,0.16591240143207298
1,42,1.0454797294137128
2,42,1.9963035031938932
3,42,2.0786118956032364
4,42,2.1096746982677494
0,43,0.12949494251616778
1,43,1.0398615886180702
2,43,2.015194623654744
3,43,2.0372408062788
4,43,2.085243521400154
0,44,0.4332851151648137
1,44,1.0682867683384365
2,44,1.9135587084338967
3,44,1.9744084975301455
4,44,2.048562295090857
0,45,0.15028151761161612
1,45,1.0606387007870408
2,45,1.8816555635666279
3,45,2.0426466274372856
4,45,2.0981789653227807
0,46,0.18969602638042826
1,46,1.0396440830244897
2,46,1.9297091097289267
3,46,2.083057618354447
4,46,2.1014349399719094
0,47,0.28832959679122816
1,47,1.013900786487122
2,47,1.9483373249959088
3,47,2.06347152932076
4,47,2.397258936390145
0,48,0.1585111438929333
1,48,1.0657553456626072
2,48,1.731385312331234
3,48,2.0460492875566803
4,48,2.272186338468098
0,49,0.15942535750346476
1,49,1.029367721332883
2,49,1.9413023833608005
3,49,2.0692961153436853
4,49,2.259725360945313
0,50,0.13279860347991135
1,50,1.0491197564417356
2,50,1.8544855596976517
3,50,2.012570787223368
4,50,2.156720987458244
0,51,0.09366460860205739
1,51,1.064117655366002
2,51,1.7922554274339084
3,51,2.03568495854091
4,51,2.205776392995903
0,52,0.12686647444778387
1,52,1.04787830548294
2,52,1.835632008280493
3,52,2.050246313098611
4,52,2.206765614276453
0,53,0.1281416766943924
1,53,1.0976834892385696
2,53,1.8263257418951586
3,53,2.073822800716117
4,53,2.335214724957534
0,54,0.08772309760380304
1,54,1.0482866999513805
2,54,1.9104539706140062
3,54,2.0738667862011577
4,54,2.28109635726489
0,55,0.18420967786623993
1,55,1.0397207111731999
2,55,1.7376914847418066
3,55,2.0658152930750195
4,55,2.3421828870673393
0,56,0.13252398477232258
1,56,1.02975352177955
2,56,1.8412556451164428
3,56,2.0603803799613902
4,56,2.2056471238268527
0,57,0.23465082019400324
1,57,1.0268489937097773
2,57,1.9122509023539314
3,57,2.045239287743232
4,57,2.18968138473726
0,58,0.2596904316827191
1,58,1.0662684394225608
2,58,1.9371501187193418
3,58,2.0511637061788037
4,58,2.1696891629077975
0,59,0.09450464097742961
1,59,1.0349498430592314
2,59,1.9225162266793294
3,59,2.0604128452549597
4,59,2.0630647272441878
0,60,0.3947136768187929
1,60,1.0354188399188344
2,60,1.9138448817368
3,60,2.0313712368870585
4,60,2.072581435003839
0,61,0.37038267935542635
1,61,1.0205914661677618
2,61,1.8647782548677918
3,61,2.049810186993981
4,61,2.079237087519241
0,62,0.17541113840127243
1,62,1.0772648808031988
2,62,1.9791384205194043
3,62,2.041330595127502
4,62,2.0812858607825833
0,63,0.17585965216270505
1,63,1.0656137190451693
2,63,1.9095413192541573
3,63,2.0555485524193027
4,63,2.1171277689930905
0,64,0.3326394824977764
1,64,1.0367357267111952
2,64,1.828383704077159
3,64,2.0581910681595526
4,64,2.1940259497264583
0,65,0.24369924720068503
1,65,1.0200851371763031
2,65,1.806641139136639
3,65,2.0638838124309076
4,65,2.3450193854099624
0,66,0.22485938322200288
1,66,1.0259929912376688
2,66,2.0183735748154215
3,66,2.040248384231271
4,66,2.1345029351385203
0,67,0.17845341967216752
1,67,1.0612426927056002
2,67,1.9570719069460094
3,67,2.049502664880341
4,67,2.2347339819988417
0,68,0.07081664425114076
1,68,1.0272890961653296
2,68,1.9817884833504247
3,68,2.021379807475243
4,68,2.1385519793125285
0,69,0.1253519327886669
1,69,1.0436621516184594
2,69,1.9911776362465903
3,69,2.0824223241455107
4,69,2.27059067083835
0,70,0.06546789273477094
1,70,1.0585400504565112
2,70,1.9244975393803192
3,70,2.0401746284563047
4,70,2.178247816738246
0,71,0.23998472913713087
1,71,1.0614350507488972
2,71,1.9410458534462816
3,71,2.010605453418741
4,71,2.221041316061056
0,72,0.2658552434121981
1,72,1.0008008108383561
2,72,1.905189504647228
3,72,2.0217447785791514
4,72,2.1832368879355433
0,73,0.12383200886735493
1,73,1.055977001786997
2,73,1.9362809826747327
3,73,2.057796799886254
4,73,2.066300353149797
0,74,0.05951892721268198
1,74,1.0366821172327036
2,74,1.9766793140556074
3,74,2.021740065252352
4,74,2.0510214367300623
0,75,0.1327383109773067
1,75,1.0643758851406055
2,75,1.9952906376082746
3,75,2.0419753204357347
4,75,2.1452651642857212
0,76,0.11881398732132911
1,76,1.0682828551597905
2,76,1.986140174129071
3,76,2.0314707236721485
4,76,2.0795390950874943
0,77,0.05547429721550956
1,77,1.0416114826180387
2,77,1.962536258511967
3,77,2.0588561413860065
4,77,2.1775298921397805
0,78,0.1367041732690174
1,78,1.0559444064797687
2,78,1.9525620642446115
3,78,2.0579380536650635
4,78,2.1757310049866687
0,79,0.12236724149944762
1,79,1.0651962189401782
2,79,1.9390856854351732
3,79,2.047502339984112
4,79,2.0825196377359236
0,80,0.13516416788686297
1,80,1.0827416148293136
2,80,1.8963897105644147
3,80,2.0684847660220567
4,80,2.1494605304153733
0,81,0.18763853441374784
1,81,1.06367030387818
2,81,1.9858073127924059
3,81,2.065474520024165
4,81,2.1634903819139764
0,82,0.13752345329699628
1,82,1.0205443310357991
2,82,1.875712091494222
3,82,2.04623745752675
4,82,2.2349430662292
0,83,0.0835066210436694
1,83,1.0517872200369265
2,83,1.8734067010947633
3,83,2.0729489214530448
4,83,2.184863275500072
0,84,0.1869490725510901
1,84,1.0706876817686821
2,84,1.9623936629814596
3,84,2.0383978538565892
4,84,2.1283798083974554
0,85,0.0776534071898547
1,85,1.04629255668765
2,85,1.9064555620968577
3,85,1.937395532539079
4,85,2.1120217147974065
0,86,0.3161081782059265
1,86,1.0366805544801605
2,86,1.9877932686895166
3,86,2.0320565513859323
4,86,2.0701762908167947
0,87,0.1125274377365757
1,87,1.0601018518905228
2,87,1.8559607100634186
3,87,1.8956075288338368
4,87,2.0894775940576733
0,88,0.14366396409680998
1,88,1.0453224828279997
2,88,1.907685396513444
3,88,2.0980660001208107
4,88,2.118472413110068
0,89,0.06917350893470144
1,89,1.05083480351211
2,89,1.8769032125696552
3,89,2.058414412001415
4,89,2.1660410111463206
0,90,0.0715927675049879
1,90,1.0654711375951649
2,90,1.7870602320042703
3,90,2.0594036392664825
4,90,2.1572400292998264
0,91,0.16781000539971833
1,91,1.0331524356042523
2,91,1.9527559655099884
3,91,2.042227972728163
4,91,2.213621304901535
0,92,0.24726477037501116
1,92,1.059635791354703
2,92,1.7767930270757368
3,92,2.015049033299656
4,92,2.1850192466454907
0,93,0.22240390116422637
1,93,1.0659917169580049
2,93,1.918299781514557
3,93,1.9522404050608984
4,93,2.175422953145553
0,94,0.22621028086172867
1,94,1.0646456740293524
2,94,1.940869205916412
3,94,2.0648579100117472
4,94,2.0736155966966003
0,95,0.12350377128120166
1,95,1.0373105443736328
2,95,1.989029700603403
3,95,2.026860156596508
4,95,2.2441552436014316
0,96,0.2747181564870338
1,96,1.065020600611263
2,96,1.8543885251004217
3,96,1.995574359749036
4,96,2.08681905411588
0,97,0.0866584395818405
1,97,1.0677622148713906
2,97,2.0087962156308343
3,97,2.0742949413868623
4,97,2.193615405856671
0,98,0.367127824257111
1,98,1.0660251789591133
2,98,2.0278388704039103
3,98,2.0978737135169863
4,98,2.1361769115097027
0,99,0.20693255505344665
1,99,1.0348135543386896
2,99,2.0310879722703206
3,99,2.0806017031936883
4,99,2.088473505437354
0,100,0.09587482998394262
1,100,1.0369175493446756
2,100,2.018483231475629
3,100,2.1733072176526838
